model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
t0_10s,10.0,0.2,5.0,50.0,1.7,1700000000.0,0.0002,1.2088326550782676e-09,12.088326550782677,1.0000000000000013,8.96330775882151e-22,8.96330775882151e-22,0.6666708732666786,0.6666708732666786,2.0294280742904638e-19,4.0588561485809276e-19,4.862681640082829e-19,1.4588044920248485e-18,2.9867308933016397e-06,8.96019267990492e-06,0.08332801060659874,0.33331204242639495,2.0268544535680824e-21,1.4187981174976578e-20,1.1605877496765397e-06,8.124114247735777e-06,3.044122903324533e-19,7.2939764358622e-19,4.480068071170857e-06,3.040262496599742e-21,1.7408706397951283e-06,1.7408706397951313e-06
t0_10s,10.0,0.2,5.0,50.566472790034986,1.694323527025908,1694323527.025908,0.0001960578180425129,1.1969557425349405e-09,11.969557425349405,1.0000000000000013,8.827164078008552e-22,8.827164078008552e-22,0.6666708747874545,0.6666708747874545,2.027934450754797e-19,4.055868901509594e-19,4.8244869806883615e-19,1.4473460942065084e-18,2.983681170244748e-06,8.951043510734244e-06,0.08332800983803913,0.33331203935215653,2.0389237129887472e-21,1.427246599092123e-20,1.162116697088823e-06,8.134816879621762e-06,3.041882475218879e-19,7.236684791766982e-19,4.4754935052412394e-06,3.058366264521139e-21,1.743164042465969e-06,1.743164042465972e-06
t0_10s,10.0,0.2,5.0,51.23716851368122,1.6876863134045044,1687686313.4045043,0.00019154789765547082,1.1832735489401038e-09,11.832735489401038,1.0000000000000013,8.67015690440501e-22,8.67015690440501e-22,0.6666708765253548,0.6666708765253548,2.0262398640546116e-19,4.0524797281092233e-19,4.780234500801896e-19,1.434070350240569e-18,2.980189363615933e-06,8.9405680908478e-06,0.08332800895308314,0.33331203581233254,2.0531418563249214e-21,1.437199299427445e-20,1.1638706032997918e-06,8.147094223098543e-06,3.03934060329025e-19,7.170306472237345e-19,4.470255816705967e-06,3.0796933368767555e-21,1.7457948806250687e-06,1.745794880625072e-06
t0_10s,10.0,0.2,5.0,51.916760107039096,1.681051072741701,1681051072.741701,0.0001871442993855824,1.1698140417411398e-09,11.698140417411398,1.0000000000000013,8.5155168965046e-22,8.5155168965046e-22,0.6666708782202887,0.6666708782202887,2.0245976089685627e-19,4.0491952179371253e-19,4.736426630113945e-19,1.4209279890341833e-18,2.9767768625215573e-06,8.930330587564672e-06,0.08332800808298292,0.3333120323319317,2.0674731834590814e-21,1.447231228421357e-20,1.1655881704769426e-06,8.159117193338598e-06,3.036877228495907e-19,7.104595063096311e-19,4.465137086035934e-06,3.1011901839454943e-21,1.7483712106767565e-06,1.7483712106767597e-06
t0_10s,10.0,0.2,5.0,52.60536556176283,1.6744176170108909,1674417617.010891,0.0001828445299342722,1.1565743863122845e-09,11.565743863122846,1.0000000000000016,8.363209546692549e-22,8.363209546692549e-22,0.666670879873303,0.666670879873303,2.0230040964913854e-19,4.0460081929827707e-19,4.693054942470343e-19,1.407916482741103e-18,2.973441902386475e-06,8.920325707159424e-06,0.083328007227544,0.333312028910176,2.081921208767318e-21,1.4573448461371225e-20,1.1672701164725843e-06,8.17089081530809e-06,3.034486967356135e-19,7.039537925163661e-19,4.4601346663762495e-06,3.1228620772561347e-21,1.7508941093908546e-06,1.7508941093908578e-06
t0_10s,10.0,0.2,5.0,53.30310443450608,1.667785763232735,1667785763.2327352,0.0001786461526565012,1.1435517762018111e-09,11.435517762018112,1.0000000000000013,8.21320081716184e-22,8.21320081716184e-22,0.6666708814854241,0.6666708814854241,2.0214559887286551e-19,4.0429119774573103e-19,4.650111201378617e-19,1.3950333604135851e-18,2.970182749235841e-06,8.910548247707523e-06,0.08332800638657267,0.3333120255462907,2.0964895084445646e-21,1.4675426559111952e-20,1.1689171484104418e-06,8.182420038873093e-06,3.032164813055288e-19,6.975122703750914e-19,4.45524595677242e-06,3.1447143810651067e-21,1.7533646374444189e-06,1.753364637444422e-06
t0_10s,10.0,0.2,5.0,54.0100978676794,1.6611553334636897,1661155333.4636898,0.00017454678635711525,1.1307434335323883e-09,11.307434335323883,1.0000000000000016,8.065457658550759e-22,8.065457658550759e-22,0.6666708830576463,0.6666708830576463,2.0199507209530631e-19,4.0399014419061263e-19,4.607587498209165e-19,1.3822762494627495e-18,2.9669977221278924e-06,8.900993166383677e-06,0.08332800555987867,0.33331202223951467,2.1111817090477574e-21,1.4778271963334302e-20,1.1705299534559839e-06,8.193709674191887e-06,3.029906918521294e-19,6.911337535961882e-19,4.450468435819387e-06,3.1667525351714e-21,1.7557838255773492e-06,1.7557838255773523e-06
t0_10s,10.0,0.2,5.0,54.72646861048324,1.6545261547846026,1654526154.7846026,0.00017054410410957728,1.1181466093760931e-09,11.181466093760932,1.0000000000000013,7.919947525280888e-22,7.919947525280888e-22,0.6666708845909416,0.6666708845909416,2.01848597073747e-19,4.03697194147494e-19,4.565476123801871e-19,1.3696428371405611e-18,2.963885173293656e-06,8.891655519880968e-06,0.08332800474727294,0.33331201898909174,2.1260015005094744e-21,1.488201050356632e-20,1.172109206878577e-06,8.20476444815004e-06,3.02770980013021e-19,6.8481708581036545e-19,4.445799631871201e-06,3.1889820744368556e-21,1.7581526866855212e-06,1.7581526866855244e-06
t0_10s,10.0,0.2,5.0,55.452341040219814,1.647898059289371,1647898059.289371,0.00016663583209678654,1.1057585841049545e-09,11.057585841049544,1.0000000000000016,7.77663853790838e-22,7.77663853790838e-22,0.6666708860862568,0.6666708860862568,2.0170597718732212e-19,4.0341195437464424e-19,4.52376961432781e-19,1.3571308842983428e-18,2.960843496443473e-06,8.882530489330419e-06,0.08332800394856879,0.33331201579427516,2.1409526353580627e-21,1.498666844750644e-20,1.1736555685960315e-06,8.21558898017222e-06,3.025570508582619e-19,6.785611474478735e-19,4.441237135500749e-06,3.211408627616381e-21,1.7604722106376472e-06,1.7604722106376503e-06
t0_10s,10.0,0.2,5.0,56.187841183887656,1.6412708840736336,1641270884.0736337,0.00016281974847367933,1.0935766677178868e-09,10.935766677178867,1.0000000000000016,7.635499456815762e-22,7.635499456815762e-22,0.6666708875445132,0.6666708875445132,2.0156704138199483e-19,4.0313408276398967e-19,4.482460734183762e-19,1.3447382202551287e-18,2.9578711246912834e-06,8.87361337407385e-06,0.08332800316358165,0.3333120126543266,2.156038928886294e-21,1.509227250220406e-20,1.175169683948867e-06,8.22618778764207e-06,3.0234864780792804e-19,6.72364853172694e-19,4.436778596386194e-06,3.234037917610939e-21,1.7627433654366702e-06,1.7627433654366734e-06
