model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li6,X_Li6,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
pynucastro,50.0,0.14285714285714285,7.0,120.89053290952404,1.2544351539504597,1254435153.9504597,4.410800045104271e-05,6.635225300791233e-10,6.635225300791234,0.9999999999999994,5.029308504260683e-12,5.029308504260683e-12,0.7500996033186769,0.7500996033186769,1.0162647706682053e-07,2.0325295413364107e-07,7.339591146686697e-11,2.201877344006009e-10,3.9957126339266525e-06,1.1987137901779957e-05,0.06247195433363291,0.24988781733453164,1.5955449606478744e-16,9.573269763887246e-16,5.896574203260406e-15,4.127601942282284e-14,5.553295366714153e-08,3.8873067566999075e-07,1.3548397655083804e-07,9.784822061248978e-11,5.326909408095087e-06,7.861054954798142e-15,7.403410616596283e-08,7.403411402701779e-08
pynucastro,50.0,0.14285714285714285,7.0,121.40975012464918,1.2522597430701687,1252259743.0701687,4.38001182239094e-05,6.62330838548552e-10,6.623308385485521,0.9999999999999993,4.840596447302995e-12,4.840596447302995e-12,0.750099603720851,0.750099603720851,9.983058006661696e-08,1.9966116013323392e-07,7.09692945713151e-11,2.129078837139453e-10,3.995164848300169e-06,1.1985494544900506e-05,0.062471955293491505,0.24988782117396602,1.562278467818567e-16,9.373670806911402e-16,5.707773135575571e-15,3.9954411949029e-14,5.567595540866346e-08,3.897316878606442e-07,1.3308976510774005e-07,9.461316099791763e-11,5.3261791213890125e-06,7.609353620855551e-15,7.422474979653931e-08,7.422475740589293e-08
pynucastro,50.0,0.14285714285714285,7.0,121.93119734496976,1.2500843033834488,1250084303.3834488,4.349456556606009e-05,6.611500622951947e-10,6.611500622951947,0.9999999999999993,4.659774056854565e-12,4.659774056854565e-12,0.7500996041170642,0.7500996041170642,9.807475519811621e-08,1.9614951039623242e-07,6.863370651615447e-11,2.059011195484634e-10,3.994624283821558e-06,1.1983872851464675e-05,0.06247195623135072,0.24988782492540287,1.5298214539700168e-16,9.1789287238201e-16,5.5258955535596174e-15,3.868126887491732e-14,5.5817795699642407e-08,3.9072456989749684e-07,1.3074897608239528e-07,9.149945705802979e-11,5.325458461644699e-06,7.366882375660098e-15,7.441384503241414e-08,7.441385239929652e-08
pynucastro,50.0,0.14285714285714285,7.0,122.4548841482177,1.2479088386817494,1247908838.6817493,4.319132427655814e-05,6.599801744042911e-10,6.599801744042911,0.9999999999999992,4.486480741043833e-12,4.486480741043833e-12,0.750099604507432,0.750099604507432,9.635796246119658e-08,1.9271592492239316e-07,6.638539152603879e-11,1.9915617457811636e-10,3.994090812824498e-06,1.1982272438473495e-05,0.062471957147786236,0.24988782859114494,1.4981516430111186e-16,8.988909858066711e-16,5.350660703440067e-15,3.745462492408047e-14,5.59584825740597e-08,3.917093780184179e-07,1.2846022299194783e-07,8.850210175704877e-11,5.3247472586621326e-06,7.13326693053476e-15,7.460140258413542e-08,7.460140971740236e-08
pynucastro,50.0,0.14285714285714285,7.0,122.98082015326021,1.245733352799681,1245733352.799681,4.289037629800202e-05,6.588211483158644e-10,6.588211483158644,0.9999999999999992,4.3203732116567325e-12,4.3203732116567325e-12,0.750099604892067,0.750099604892067,9.467919179373905e-08,1.893583835874781e-07,6.422075712800129e-11,1.9266227138400387e-10,3.993564310653251e-06,1.1980692931959754e-05,0.062471958043357194,0.24988783217342878,1.4672474167026484e-16,8.80348450021589e-16,5.181800023725082e-15,3.627260016607558e-14,5.6098024022166354e-08,3.926861681551645e-07,1.2622215926558527e-07,8.56163057668083e-11,5.324045346254904e-06,6.9081492510194025e-15,7.47874331039521e-08,7.478744001210135e-08
pynucastro,50.0,0.14285714285714285,7.0,123.50901502027739,1.2435578496148902,1243557849.6148903,4.259170371540776e-05,6.576729578250339e-10,6.5767295782503385,0.9999999999999991,4.161125309666797e-12,4.161125309666797e-12,0.7500996052710792,0.7500996052710792,9.303746286653882e-08,1.8607492573307763e-07,6.21363727154997e-11,1.8640911814649912e-10,3.993044655648061e-06,1.1979133966944183e-05,0.062471958918606275,0.2498878356744251,1.4370878133261784e-16,8.62252687995707e-16,5.019057425963847e-15,3.513340198174693e-14,5.6236427989258476e-08,3.9365499592480936e-07,1.2403347797112348e-07,8.283749555239958e-11,5.323352562230733e-06,6.691187931168162e-15,7.497194718418114e-08,7.497195387536908e-08
pynucastro,50.0,0.14285714285714285,7.0,124.03947845093872,1.2413823330479419,1241382333.047942,4.229528875510108e-05,6.565355770823448e-10,6.565355770823448,0.9999999999999994,4.008427255558496e-12,4.008427255558496e-12,0.7500996056445761,0.7500996056445761,9.143182431917961e-08,1.8286364863835922e-07,6.01289629693633e-11,1.803868889080899e-10,3.99253172907809e-06,1.197759518723427e-05,0.0624719597740601,0.2498878390962404,1.4076525009710312e-16,8.445915005826187e-16,4.862187567330623e-15,3.4035312971314364e-14,5.63737023752375e-08,3.946159166266625e-07,1.218929107963073e-07,8.016130460126457e-11,5.322668748302068e-06,6.482055890633944e-15,7.515495535662149e-08,7.515496183867738e-08
pynucastro,50.0,0.14285714285714285,7.0,124.57222018858212,1.2392068070621949,1239206807.0621948,4.2001113783616914e-05,6.55408980594109e-10,6.554089805941089,0.9999999999999993,3.861983503526275e-12,3.861983503526275e-12,0.7500996060126625,0.7500996060126625,8.986135139233887e-08,1.7972270278467775e-07,5.819539001451792e-11,1.7458617004355376e-10,3.992025414915851e-06,1.1976076244747554e-05,0.06247196061023056,0.24988784244092224,1.3789217293531468e-16,8.273530376118881e-16,4.710955742460011e-15,3.297669019722008e-14,5.650985503770074e-08,3.955689852639052e-07,1.1979922489230306e-07,7.758354963532073e-11,5.321993749785361e-06,6.280440230467852e-15,7.533646809667408e-08,7.533647437711431e-08
pynucastro,50.0,0.14285714285714285,7.0,125.10725001839252,1.2370312756636779,1237031275.663678,4.1709161306607404e-05,6.54293143222761e-10,6.5429314322276095,0.9999999999999992,3.721513911264115e-12,3.721513911264115e-12,0.7500996063754397,0.7500996063754397,8.83251472507556e-08,1.766502945015112e-07,5.633266282054088e-11,1.6899798846162263e-10,3.991525599972639e-06,1.1974576799917915e-05,0.06247196142761409,0.24988784571045636,1.3508764450233667e-16,8.1052586701402e-16,4.565137187251778e-15,3.1955960310762444e-14,5.664489378747181e-08,3.9651425651230265e-07,1.1775122463742117e-07,7.510024314336897e-11,5.321327415781633e-06,6.086041304982149e-15,7.551649581738337e-08,7.551650190342469e-08
pynucastro,50.0,0.14285714285714285,7.0,125.64457776758137,1.2348557429009686,1234855742.9009686,4.141941396775841e-05,6.53188040187229e-10,6.531880401872289,0.9999999999999992,3.5867507531559952e-12,3.5867507531559952e-12,0.7500996067330082,0.7500996067330082,8.682233960569193e-08,1.7364467921138387e-07,5.4537912216865234e-11,1.636137366505957e-10,3.991032173573041e-06,1.1973096520719123e-05,0.06247196222669351,0.24988784890677404,1.323498117913003e-16,7.940988707478019e-16,4.424516187815787e-15,3.097161331471051e-14,5.6778826393985304e-08,3.9745178475789714e-07,1.157477471343291e-07,7.270756007245522e-11,5.320669598742525e-06,5.898571533834515e-15,7.569504887661574e-08,7.569505477518727e-08
pynucastro,50.0,0.14285714285714285,7.0,126.18421330556734,1.2326802128650678,1232680212.8650677,4.113185454771383e-05,6.52093647063319e-10,6.52093647063319,0.9999999999999992,3.457440490922096e-12,3.457440490922096e-12,0.7500996070854653,0.7500996070854653,8.535208252285019e-08,1.7070416504570037e-07,5.280840405831737e-11,1.584252121749521e-10,3.990545027738264e-06,1.1971635083214792e-05,0.06247196300793706,0.24988785203174824,1.296768782934433e-16,7.780612697606597e-16,4.2888878917742055e-15,3.0022215242419436e-14,5.691166057981897e-08,3.983816240587328e-07,1.1378766462028728e-07,7.040185537958888e-11,5.3200201547147145e-06,5.7177578167769065e-15,7.587213756977017e-08,7.587214328752799e-08
pynucastro,50.0,0.14285714285714285,7.0,126.72616654415793,1.2305046896892728,1230504689.6892729,4.0846465963007804e-05,6.510099397841133e-10,6.510099397841133,0.9999999999999992,3.333340772524527e-12,3.333340772524527e-12,0.7500996074329057,0.7500996074329057,8.391355311653308e-08,1.6782710623306617e-07,5.1141515065836894e-11,1.5342454519751068e-10,3.990064056865414e-06,1.1970192170596241e-05,0.06247196377180019,0.24988785508720077,1.2706710065670204e-16,7.624026039402123e-16,4.1580552463504064e-15,2.9106386724452844e-14,5.704340402622734e-08,3.9930382818359137e-07,1.1186988005994779e-07,6.817963182364598e-11,5.319378942912344e-06,5.54333745164949e-15,7.604777213715541e-08,7.604777768049287e-08
pynucastro,50.0,0.14285714285714285,7.0,127.27044743773118,1.2283291775490528,1228329177.5490527,4.0563231265005286e-05,6.499368946403848e-10,6.499368946403848,0.9999999999999992,3.2142218264802977e-12,3.2142218264802977e-12,0.7500996077754224,0.7500996077754224,8.250595307729172e-08,1.6501190615458343e-07,4.953474383638396e-11,1.4860423150915187e-10,3.989589157883942e-06,1.1968767473651825e-05,0.062471964518724755,0.24988785807489902,1.2451878259109603e-16,7.471126955465762e-16,4.0318308768120795e-15,2.8222816137684557e-14,5.717406436818419e-08,4.0021845057728933e-07,1.0999332918194747e-07,6.603755464329548e-11,5.318745825925579e-06,5.375060638638806e-15,7.62219627573808e-08,7.622196813244143e-08
pynucastro,50.0,0.14285714285714285,7.0,127.81706598341822,1.226153680661922,1226153680.661922,4.028213363885061e-05,6.488744882810265e-10,6.4887448828102645,0.9999999999999992,3.0998642203193695e-12,3.0998642203193695e-12,0.7500996081131057,0.7500996081131057,8.112850595436015e-08,1.622570119087203e-07,4.7985691523023944e-11,1.4395707456907182e-10,3.989120229990942e-06,1.1967360689972826e-05,0.06247196524914052,0.24988786099656207,1.2203027898402523e-16,7.321816739041514e-16,3.9100348513752055e-15,2.7370243959626438e-14,5.730364919899842e-08,4.0112554439298896e-07,1.0815697685596842e-07,6.397242580053221e-11,5.31812066936773e-06,5.212687500545422e-15,7.639471955350994e-08,7.639472476619744e-08
pynucastro,50.0,0.14285714285714285,7.0,128.3660322212877,1.2239782032873114,1223978203.2873116,4.000315640242352e-05,6.478226977134935e-10,6.478226977134935,0.999999999999999,2.9900594495209816e-12,2.9900594495209816e-12,0.7500996084460444,0.7500996084460444,7.978045803291759e-08,1.5956091606583518e-07,4.649206781556258e-11,1.3947620344668775e-10,3.988657174743693e-06,1.1965971524231077e-05,0.06247196596346462,0.24988786385385847,1.1960000274187763e-16,7.176000164512658e-16,3.792493894127167e-15,2.6547457258890166e-14,5.7432166066675245e-08,4.0202516246672673e-07,1.0635981826226523e-07,6.198119195379744e-11,5.317503341998613e-06,5.055987033487387e-15,7.656605258820958e-08,7.656605764419661e-08
pynucastro,50.0,0.14285714285714285,7.0,128.91735623452922,1.221802749726443,1221802749.726443,3.972628300530368e-05,6.467815003042657e-10,6.4678150030426576,0.9999999999999992,2.884608551392822e-12,2.884608551392822e-12,0.7500996087743247,0.7500996087743247,7.84610763943779e-08,1.569221527887558e-07,4.505167768424214e-11,1.3515503305272643e-10,3.9881998958706325e-06,1.1964599687611898e-05,0.06247196666210268,0.24988786664841073,1.1722641051550982e-16,7.033584630930589e-16,3.679042290102426e-15,2.5753296030716982e-14,5.755962247707462e-08,4.029173573395223e-07,1.0460087630572774e-07,6.006092678525367e-11,5.31689371547256e-06,4.904738313507512e-15,7.673597186796032e-08,7.673597677269863e-08
pynucastro,50.0,0.14285714285714285,7.0,129.47104814963959,1.2196273243221951,1219627324.322195,3.945149702774202e-05,6.457508737793189e-10,6.457508737793188,0.9999999999999991,2.7833221427921383e-12,2.7833221427921383e-12,0.7500996090980306,0.7500996090980306,7.716964910421776e-08,1.5433929820843552e-07,4.366242247176549e-11,1.3098726741529645e-10,3.987748299295045e-06,1.1963244897885136e-05,0.06247196734544872,0.24988786938179489,1.149080117943496e-16,6.894480707660975e-16,3.5695209672531945e-15,2.4986646770772363e-14,5.7686025891898267e-08,4.0380218124328785e-07,1.0287920186628499e-07,5.820883245662276e-11,5.316291664369986e-06,4.758729272696759e-15,7.690448734037305e-08,7.690449209910232e-08
pynucastro,50.0,0.14285714285714285,7.0,130.02711813660775,1.2174519314589798,1217451931.4589798,3.917878217964119e-05,6.447307962246189e-10,6.447307962246189,0.9999999999999993,2.686019684526018e-12,2.686019684526018e-12,0.7500996094172451,0.7500996094172451,7.590548409282097e-08,1.5181096818564193e-07,4.232229246424982e-11,1.2696687739274947e-10,3.987302293027369e-06,1.1961906879082107e-05,0.06247196801388574,0.24988787205554297,1.1264334843331766e-16,6.758600905999059e-16,3.463778719043672e-15,2.4246451033305703e-14,5.781138373001167e-08,4.046796861100817e-07,1.011938723068956e-07,5.642222970510564e-11,5.315697066053824e-06,4.617758329103375e-15,7.707160889595122e-08,7.707161351370955e-08
pynucastro,50.0,0.14285714285714285,7.0,130.58557640910263,1.2152765755626063,1215276575.5626063,3.890812229954216e-05,6.43721246086626e-10,6.43721246086626,0.9999999999999992,2.5925290396165515e-12,2.5925290396165515e-12,0.7500996097320481,0.7500996097320481,7.466790857202917e-08,1.4933581714405834e-07,4.102936307107521e-11,1.2308808921322562e-10,3.986861787110437e-06,1.1960585361331312e-05,0.06247196866778605,0.2498878746711442,1.1043099540132295e-16,6.625859724079377e-16,3.361672063042998e-15,2.3531704441300984e-14,5.793570336755236e-08,4.0554992357286655e-07,9.954399069571862e-08,5.469855275052308e-11,5.315109800596525e-06,4.481634198215168e-15,7.723734636823535e-08,7.723735084986955e-08
pynucastro,50.0,0.14285714285714285,7.0,131.14643322465966,1.213101261100154,1213101261.100154,3.8639501353619814e-05,6.427222021728202e-10,6.427222021728202,0.9999999999999992,2.5026864043671126e-12,2.5026864043671126e-12,0.7500996100425186,0.7500996100425186,7.345626890265962e-08,1.4691253780531925e-07,3.978179383839595e-11,1.1934538151518786e-10,3.986426693611413e-06,1.1959280080834239e-05,0.06247196930751136,0.24988787723004544,1.0826957732257275e-16,6.496174639354365e-16,3.263062382692857e-15,2.284143667885e-14,5.8058992136686264e-08,4.0641294495680385e-07,9.792868562949371e-08,5.3035347980171545e-11,5.314529750769297e-06,4.35017208248901e-15,7.7401709532145e-08,7.740171388231708e-08
pynucastro,50.0,0.14285714285714285,7.0,131.70969888487033,1.2109259925798368,1210925992.5798368,3.837290343468509e-05,6.417336436522384e-10,6.417336436522383,0.9999999999999992,2.416335252081837e-12,2.416335252081837e-12,0.7500996103487332,0.7500996103487332,7.226992907456761e-08,1.4453985814913522e-07,3.857781891395952e-11,1.1573345674187857e-10,3.9859969264706154e-06,1.1957990779411846e-05,0.06247196993341361,0.24988787973365445,1.0615774947792417e-16,6.36946496867545e-16,3.1678177059690185e-15,2.217472394178313e-14,5.818125732850476e-08,4.072688012995333e-07,9.634710920722672e-08,5.143026123693636e-11,5.313956801840575e-06,4.2231960425845974e-15,7.7564708107841e-08,7.756471233103704e-08
pynucastro,50.0,0.14285714285714285,7.0,132.27538373557024,1.208750774550874,1208750774.550874,3.810831276119536e-05,6.407555500560323e-10,6.407555500560322,0.9999999999999991,2.33332671542375e-12,2.33332671542375e-12,0.7500996106507671,0.7500996106507671,7.110827133907991e-08,1.4221654267815982e-07,3.741575081995422e-11,1.1224725245986266e-10,3.9855724015715445e-06,1.1956717204714633e-05,0.06247197054583464,0.24988788218333857,1.0409424799402072e-16,6.245654879641244e-16,3.075807168162156e-15,2.153065017713509e-14,5.830250618962814e-08,4.08117543327397e-07,9.479843787332219e-08,4.988104284908677e-11,5.313390841669368e-06,4.100531615385942e-15,7.772635175619727e-08,7.772635585672889e-08
pynucastro,50.0,0.14285714285714285,7.0,132.84349816703028,1.2065756116033526,1206575611.6033525,3.784571367627167e-05,6.397879012780403e-10,6.397879012780403,0.9999999999999992,2.253518459448742e-12,2.253518459448742e-12,0.7500996109486937,0.7500996109486937,6.997069441996369e-08,1.3994138883992737e-07,3.629396958298004e-11,1.0888190874894011e-10,3.9851530365607645e-06,1.1955459109682293e-05,0.06247197114510713,0.24988788458042852,1.0207784443721102e-16,6.124670666232661e-16,2.986904844848169e-15,2.0908333913937184e-14,5.84227459261553e-08,4.089592214830871e-07,9.328187003252509e-08,4.8385533138828036e-11,5.312831760465139e-06,3.9820109239497674e-15,7.788665008406647e-08,7.78866540660774e-08
pynucastro,50.0,0.14285714285714285,7.0,133.41405261414627,1.204400508368098,1204400508.368098,3.7585090646724204e-05,6.388306775753789e-10,6.388306775753789,0.9999999999999991,2.1767749177458153e-12,2.1767749177458153e-12,0.7500996112425845,0.7500996112425845,6.88566140584299e-08,1.377132281168598e-07,3.521092581361406e-11,1.0563277744084218e-10,3.9847387509090615e-06,1.1954216252727184e-05,0.062471971731554346,0.24988788692621738,1.0010733737705191e-16,6.006440242623114e-16,2.9009914817321752e-15,2.0306940372125227e-14,5.854198370047123e-08,4.0979388590329857e-07,9.17966267764955e-08,4.694166652784298e-11,5.312279450869339e-06,3.867474983657851e-15,7.804561264002384e-08,7.804561650749883e-08
pynucastro,50.0,0.14285714285714285,7.0,133.98705755663187,1.202225469516533,1202225469.5165331,3.732642826208399e-05,6.378838595690486e-10,6.378838595690486,0.9999999999999991,2.1029667474277026e-12,2.1029667474277026e-12,0.7500996115325097,0.7500996115325097,6.776546196758841e-08,1.3553092393517682e-07,3.416513450827185e-11,1.0249540352481554e-10,3.98432946580772e-06,1.195298839742316e-05,0.06247197230549072,0.24988788922196287,9.818149107515559e-17,5.890889464509336e-16,2.8179597588042046e-15,1.972571831162943e-14,5.866022663309084e-08,4.1062158643163586e-07,9.034195048993359e-08,4.554746327420423e-11,5.31173380781712e-06,3.756780720159155e-15,7.820324891682533e-08,7.820325267360605e-08
pynucastro,50.0,0.14285714285714285,7.0,134.5625235192099,1.2000504997605481,1200050499.760548,3.70697112336431e-05,6.369474282445595e-10,6.369474282445594,0.9999999999999992,2.0319705309177165e-12,2.0319705309177165e-12,0.750099611818538,0.750099611818538,6.669668542737227e-08,1.3339337085474455e-07,3.315517263869122e-11,9.946551791607366e-11,3.983925104130355e-06,1.1951775312391065e-05,0.06247197286722201,0.24988789146888804,9.629905446168926e-17,5.777943267701355e-16,2.737712511424736e-15,1.9163987579973152e-14,5.877748180258446e-08,4.1144237261809123e-07,8.891710431055036e-08,4.4201026258779116e-11,5.311194728486454e-06,3.649798597798816e-15,7.835956835130817e-08,7.835957200110677e-08
pynucastro,50.0,0.14285714285714285,7.0,135.14046107180658,1.1978756038523597,1197875603.8523598,3.6814924393501296e-05,6.360213649525743e-10,6.360213649525743,0.999999999999999,1.9636684926892883e-12,1.9636684926892883e-12,0.750099612100736,0.750099612100736,6.564974682097645e-08,1.312994936419529e-07,3.2179676302028954e-11,9.653902890608686e-11,3.98352559038893e-06,1.1950576771166791e-05,0.062471973417045676,0.2498878936681827,9.44589484137272e-17,5.667536904823632e-16,2.660144511019953e-15,1.862101157713967e-14,5.889375624560548e-08,4.1225629371923835e-07,8.752137151106793e-08,4.290053718586289e-11,5.310662112239508e-06,3.5463883304377767e-15,7.851458032442795e-08,7.851458387081628e-08
pynucastro,50.0,0.14285714285714285,7.0,135.7208808297453,1.1957007865843754,1195700786.5843754,3.656205269362009e-05,6.351056514095683e-10,6.351056514095683,0.9999999999999989,1.8979481048445777e-12,1.8979481048445777e-12,0.7500996123791692,0.7500996123791692,6.462412313271652e-08,1.2924824626543303e-07,3.1237337881481247e-11,9.371201364444375e-11,3.983130850685119e-06,1.1949392552055357e-05,0.062471973955251024,0.2498878958210041,9.266032487408469e-17,5.559619492445081e-16,2.5851323809134365e-15,1.8095926666394056e-14,5.9009056957234005e-08,4.1306339870063803e-07,8.615405482978646e-08,4.164425279784177e-11,5.3101358605577825e-06,3.4463854376806066e-15,7.866829416171649e-08,7.866829760810193e-08
pynucastro,50.0,0.14285714285714285,7.0,136.30379345394138,1.1935260527890563,1193526052.7890563,3.631108120488434e-05,6.342002696985091e-10,6.342002696985091,0.999999999999999,1.834701999096985e-12,1.834701999096985e-12,0.7500996126539019,0.7500996126539019,6.361930563852471e-08,1.2723861127704943e-07,3.0326904155630403e-11,9.098071246689122e-11,3.982740812684891e-06,1.1948222438054671e-05,0.06247197448211946,0.24988789792847785,9.090190210115273e-17,5.454114126069164e-16,2.5126000485253944e-15,1.758820033967776e-14,5.912339088981154e-08,4.1386373622868077e-07,8.481447605796704e-08,4.043050235465636e-11,5.309615877008243e-06,3.3496885028851697e-15,7.882071913172849e-08,7.882072248141698e-08
