model,t0_s,n_over_p_initial,p_over_n_initial,t_s,T9,T_K,rho_g_cm3,eta,eta10,baryon_sum,Y_n,X_n,Y_H1,X_H1,Y_H2,X_H2,Y_H3,X_H3,Y_He3,X_He3,Y_He4,X_He4,Y_Li7,X_Li7,Y_Be7,X_Be7,D/H,T/H,He3/H,Li7/H,Be7/H,Li7_plus_Be7_over_H
pynucastro,50.0,0.1428571428571428,7.0,109.39318357188994,1.3051458408832806,1305145840.8832805,5.199376632160517e-05,6.94475771034374e-10,6.944757710343742,1.0000000000000018,1.2927798338879778e-11,1.2927798338879778e-11,0.7500995921483284,0.7500995921483284,1.5796971358236238e-07,3.159394271647247e-07,1.68384500154542e-10,5.05153500463626e-10,4.010700389304359e-06,1.2032101167913078e-05,0.0624719240921108,0.2498876963684434,1.3198665391883442e-14,9.239065774318409e-14,5.184635159582928e-08,3.62924461170805e-07,2.105983195243821e-07,2.244828578992812e-10,5.346890507989056e-06,1.7595883973329066e-14,6.911929047626642e-08,6.911930807215039e-08
pynucastro,50.0,0.1428571428571428,7.0,110.5892123692509,1.2996302555545138,1299630255.554514,5.106620237475561e-05,6.908075480757024e-10,6.908075480757028,1.0000000000000018,1.1607519231996068e-11,1.1607519231996068e-11,0.7500995936068303,0.7500995936068303,1.502059747531584e-07,3.004119495063168e-07,1.5316903112548724e-10,4.595070933764617e-10,4.008790457458545e-06,1.2026371372375634e-05,0.0624719282924263,0.2498877131697054,1.2037618899529491e-14,8.426333229670643e-14,5.228127790910004e-08,3.659689453637002e-07,2.002480417712236e-07,2.0419825904581388e-10,5.3443442599167424e-06,1.604802749145214e-14,6.969911509711283e-08,6.969913114514032e-08
pynucastro,50.0,0.1428571428571428,7.0,111.79831771157929,1.2941140236869078,1294114023.6869078,5.01564319591052e-05,6.872139319973194e-10,6.8721393199731935,1.000000000000002,1.0435443296715207e-11,1.0435443296715207e-11,0.7500995950049504,0.7500995950049504,1.429110384833011e-07,2.858220769666022e-07,1.3948134527872372e-10,4.184440358361712e-10,4.006951255865885e-06,1.2020853767597656e-05,0.062471932234387,0.249887728937548,1.0990908923755632e-14,7.693636246628944e-14,5.2707528937641385e-08,3.689527025634897e-07,1.905227511586084e-07,1.8595043405909742e-10,5.341892306766864e-06,1.4652599464052632e-14,7.026737421087868e-08,7.026738886347814e-08
pynucastro,50.0,0.1428571428571428,7.0,113.0206425687006,1.2885971919598584,1288597191.9598584,4.926410403571871e-05,6.836943622414132e-10,6.836943622414136,1.000000000000002,9.393554527252896e-12,9.393554527252896e-12,0.750099596345946,0.750099596345946,1.360523494708991e-07,2.721046989417982e-07,1.2715499433375018e-10,3.8146498300125047e-10,4.005179196046301e-06,1.2015537588138904e-05,0.06247193593602,0.2498877437440801,1.0046265911740102e-14,7.032386138218072e-14,5.3125251410418384e-08,3.718767598729287e-07,1.813790463741988e-07,1.6951748134937838e-10,5.339529864510301e-06,1.3393242658281292e-14,7.08242634301019e-08,7.082427682334458e-08
pynucastro,50.0,0.1428571428571428,7.0,114.2563314735726,1.2830798089362587,1283079808.9362588,4.838887452982912e-05,6.802482927983745e-10,6.802482927983746,1.000000000000002,8.466180474042877e-12,8.466180474042877e-12,0.7500995976328602,0.7500995976328602,1.295998842158493e-07,2.5919976843169854e-07,1.1604291462569955e-10,3.4812874387709845e-10,4.003470927826334e-06,1.2010412783479002e-05,0.0624719394139498,0.2498877576557993,9.192828927906676e-15,6.434980249534676e-14,5.353459018622298e-08,3.747421313035609e-07,1.7277690139394337e-07,1.5470334205204747e-10,5.337252466819549e-06,1.225547774844448e-14,7.13699758740915e-08,7.136998812956926e-08
pynucastro,50.0,0.1428571428571428,7.0,115.5055305393754,1.2775619250512704,1277561925.0512705,4.75304061950356e-05,6.768751922159994e-10,6.768751922159998,1.0000000000000022,7.63967424247042e-12,7.63967424247042e-12,0.750099598868537,0.750099598868537,1.2352593494215553e-07,2.4705186988431106e-07,1.0601504927903368e-10,3.1804514783710107e-10,4.001823320740459e-06,1.2005469962221375e-05,0.0624719426835178,0.2498877707340715,8.420982415671863e-15,5.894687690970303e-14,5.393568824751372e-08,3.775498177325961e-07,1.6467937741665792e-07,1.4133463001306575e-10,5.335055940273634e-06,1.1226485693865475e-14,7.190470216071468e-08,7.190471338720037e-08
pynucastro,50.0,0.1428571428571428,7.0,116.76838747678926,1.2720435926009055,1272043592.6009057,4.668836848003311e-05,6.735745436113985e-10,6.735745436113989,1.0000000000000022,6.902136267490244e-12,6.902136267490244e-12,0.7500996000556361,0.7500996000556361,1.178049127179799e-07,2.3560982543595974e-07,9.695626824721471e-11,2.908688047416442e-10,4.000233446967544e-06,1.2000700340902631e-05,0.0624719457588919,0.2498877830355677,7.722198026567917e-15,5.405538618597543e-14,5.4328686697897824e-08,3.803008068852848e-07,1.5705236039219609e-07,1.2925785887637229e-10,5.332936381609642e-06,1.0294896872355551e-14,7.242863040304006e-08,7.242864069793692e-08
pynucastro,50.0,0.1428571428571428,7.0,118.04505161145964,1.266524865730428,1266524865.730428,4.5862437397832826e-05,6.70345844685728e-10,6.703458446857284,1.0000000000000022,6.243172439802317e-12,6.243172439802317e-12,0.7500996011966471,0.7500996011966471,1.1241316753709194e-07,2.248263350741839e-07,8.876454069902916e-11,2.6629362209708754e-10,3.9986985656272e-06,1.19960956968816e-05,0.0624719486531658,0.2498877946126632,7.0889072337235725e-15,4.9622350636065023e-14,5.4713724763435296e-08,3.82996073344047e-07,1.498643211618261e-07,1.1833700558888652e-10,5.330890136787176e-06,9.450621254050148e-15,7.294194621107588e-08,7.294195566169712e-08
pynucastro,50.0,0.1428571428571428,7.0,119.33567390165445,1.2610058004225515,1261005800.4225516,4.505229539742775e-05,6.671886077418638e-10,6.6718860774186375,1.000000000000002,5.653692072125741e-12,5.653692072125741e-12,0.7500996022939013,0.7500996022939013,1.0732882556900725e-07,2.146576511380145e-07,8.134934775660886e-11,2.4404804326982656e-10,3.997216108488683e-06,1.1991648325466047e-05,0.0624719513784495,0.2498878055137982,6.514384193959101e-15,4.5600689357713696e-14,5.509093979535134e-08,3.856365785674594e-07,1.4308609848716332e-07,1.0845139433194214e-10,5.328913781936e-06,8.68469223825379e-15,7.344483269538626e-08,7.344484138007849e-08
pynucastro,50.0,0.1428571428571428,7.0,120.64040695611446,1.2554864544854545,1255486454.4854546,4.425763123786372e-05,6.641023597051411e-10,6.641023597051415,1.000000000000002,5.125736987296892e-12,5.125736987296892e-12,0.7500996033495834,0.7500996033495834,1.0253164493555158e-07,2.0506328987110322e-07,7.463033222031999e-11,2.2389099666095998e-10,3.995783667237224e-06,1.198735100171167e-05,0.0624719539459493,0.2498878157837974,5.992648736499388e-15,4.194854115549572e-14,5.5460467269943625e-08,3.882232708896053e-07,1.366907067777328e-07,9.949389639330148e-11,5.327004106379978e-06,7.989137322215752e-15,7.393747046696719e-08,7.39374784561045e-08
